session_id,search_id,search_time,session_starting_time,booking_id
session_309,search_1155,2022-01-21T15:07:38Z,2022-01-21T15:07:03.130Z,booking_116
session_116,search_714,2021-12-11T18:48:56Z,2021-12-11T18:32:34Z,
session_116,search_245,2021-12-11T18:50:09Z,2021-12-11T18:32:34Z,
session_308,search_155,2018-11-09T12:34:14.903Z,2018-11-09T12:01:22.094Z,
session_116,search_458,2021-12-11T18:50:48Z,2021-12-11T18:32:34Z,
session_116,search_199,2021-12-11T18:49:40Z,2021-12-11T18:32:34Z,
session_107,search_913,2022-04-05T09:21:24Z,2022-04-05T09:20:32.212Z,booking_148
session_107,search_329,2022-04-05T09:23:14Z,2022-04-05T09:20:32.212Z,
session_116,search_384,2021-12-11T18:33:53Z,2021-12-11T18:32:34Z,booking_231
session_285,search_216,2019-09-03T17:29:53.394Z,2019-09-03T17:29:39Z,booking_34
session_270,search_1133,2021-12-12T22:38:29Z,2021-12-12T22:38:25Z,booking_58
session_270,search_1133,2021-12-12T22:38:29Z,2021-12-12T22:38:25Z,
session_42,search_853,2022-01-22T02:28:06Z,2022-01-22T02:28:01.629Z,
session_42,search_263,2022-01-22T02:28:05Z,2022-01-22T02:28:01.629Z,
session_42,search_582,2022-01-22T02:28:06Z,2022-01-22T02:28:01.629Z,
session_42,search_601,2022-01-22T02:28:15Z,2022-01-22T02:28:01.629Z,booking_326
session_26,search_1261,2018-11-07T19:29:54.852Z,2018-11-07T19:29:45.891Z,booking_81
session_160,search_1220,2020-01-26T13:20:13.178Z,2020-01-26T12:56:26Z,
session_160,search_451,2020-01-26T13:35:35.117Z,2020-01-26T12:56:26Z,booking_190
session_160,search_1176,2020-01-26T12:56:41.426Z,2020-01-26T12:56:26Z,
session_160,search_1174,2020-01-26T12:58:44.078Z,2020-01-26T12:56:26Z,
session_57,search_1277,2018-09-29T13:38:20.074Z,2018-09-29T13:13:05Z,booking_74
session_93,search_881,2021-11-08T15:45:02Z,2021-11-08T15:43:09Z,
session_160,search_984,2020-01-26T12:56:59.011Z,2020-01-26T12:56:26Z,
session_160,search_1026,2020-01-26T13:20:18.196Z,2020-01-26T12:56:26Z,
session_160,search_1179,2020-01-26T13:19:21.369Z,2020-01-26T12:56:26Z,
session_174,search_1340,2018-09-29T19:30:46.673Z,2018-09-29T19:30:22Z,
session_174,search_1325,2018-09-29T19:38:15.401Z,2018-09-29T19:30:22Z,
session_174,search_25,2018-09-29T19:35:13.617Z,2018-09-29T19:30:22Z,booking_23
session_93,search_858,2021-11-08T15:44:28Z,2021-11-08T15:43:09Z,
session_93,search_368,2021-11-08T15:43:16Z,2021-11-08T15:43:09Z,
session_93,search_829,2021-11-08T15:46:11Z,2021-11-08T15:43:09Z,booking_119
session_93,search_814,2021-11-08T15:45:27Z,2021-11-08T15:43:09Z,
session_93,search_870,2021-11-08T15:44:51Z,2021-11-08T15:43:09Z,
session_93,search_222,2021-11-08T15:43:39Z,2021-11-08T15:43:09Z,
session_167,search_1161,2020-01-24T08:20:18.386Z,2020-01-24T07:47:05Z,
session_261,search_357,2020-01-24T09:51:00.143Z,2020-01-24T09:50:56Z,
session_261,search_826,2020-01-24T09:52:47.429Z,2020-01-24T09:50:56Z,
session_261,search_826,2020-01-24T09:52:47.429Z,2020-01-24T09:50:56Z,
session_261,search_640,2020-01-24T10:10:24.470Z,2020-01-24T09:50:56Z,
session_261,search_640,2020-01-24T10:10:24.470Z,2020-01-24T09:50:56Z,
session_261,search_944,2020-01-24T10:13:57.148Z,2020-01-24T09:50:56Z,
session_57,search_7,2018-09-29T13:24:47.439Z,2018-09-29T13:13:05Z,
session_117,search_529,2021-12-16T21:02:30Z,2021-12-16T21:00:08Z,
session_117,search_815,2021-12-16T21:05:56Z,2021-12-16T21:00:08Z,
session_117,search_928,2021-12-16T21:02:43Z,2021-12-16T21:00:08Z,
session_167,search_1056,2020-01-24T08:24:58.759Z,2020-01-24T07:47:05Z,booking_261
session_261,search_640,2020-01-24T10:10:24.470Z,2020-01-24T09:50:56Z,
session_57,search_32,2018-09-29T13:23:49.292Z,2018-09-29T13:13:05Z,
session_167,search_1068,2020-01-24T08:21:26.366Z,2020-01-24T07:47:05Z,
session_261,search_1240,2020-01-24T10:23:40.733Z,2020-01-24T09:50:56Z,
session_261,search_1069,2020-01-24T10:32:01.971Z,2020-01-24T09:50:56Z,
session_261,search_826,2020-01-24T09:52:47.429Z,2020-01-24T09:50:56Z,
session_261,search_944,2020-01-24T10:13:57.148Z,2020-01-24T09:50:56Z,
session_261,search_1175,2020-01-24T10:26:41.143Z,2020-01-24T09:50:56Z,
session_261,search_1069,2020-01-24T10:32:01.971Z,2020-01-24T09:50:56Z,
session_261,search_1022,2020-01-24T10:28:55.113Z,2020-01-24T09:50:56Z,
session_261,search_1005,2020-01-24T10:31:31.612Z,2020-01-24T09:50:56Z,
session_261,search_826,2020-01-24T09:52:47.429Z,2020-01-24T09:50:56Z,
session_261,search_944,2020-01-24T10:13:57.148Z,2020-01-24T09:50:56Z,
session_261,search_1078,2020-01-24T10:37:10.169Z,2020-01-24T09:50:56Z,booking_323
session_261,search_1169,2020-01-24T10:25:31.586Z,2020-01-24T09:50:56Z,
session_261,search_995,2020-01-24T10:43:42.651Z,2020-01-24T09:50:56Z,
session_261,search_1137,2020-01-24T10:30:19.558Z,2020-01-24T09:50:56Z,
session_117,search_608,2021-12-16T21:05:39Z,2021-12-16T21:00:08Z,
session_117,search_590,2021-12-16T21:03:37Z,2021-12-16T21:00:08Z,
session_117,search_236,2021-12-16T21:14:17Z,2021-12-16T21:00:08Z,
session_117,search_399,2021-12-16T21:14:40Z,2021-12-16T21:00:08Z,booking_297
session_7,search_681,2020-01-23T14:09:24.591Z,2020-01-23T13:56:46.839Z,
session_171,search_896,2021-11-09T03:59:37Z,2021-11-09T03:59:18Z,booking_48
session_171,search_896,2021-11-09T03:59:37Z,2021-11-09T03:59:18Z,booking_48
session_7,search_554,2020-01-23T14:05:25.435Z,2020-01-23T13:56:46.839Z,
session_7,search_922,2020-01-23T13:56:48.659Z,2020-01-23T13:56:46.839Z,booking_157
session_258,search_291,2020-09-03T13:30:55Z,2020-09-03T13:30:37Z,
session_258,search_809,2020-09-03T13:39:31Z,2020-09-03T13:30:37Z,booking_274
session_298,search_39,2018-09-25T16:47:42.775Z,2018-09-25T16:10:52.146Z,
session_113,search_112,2018-09-25T18:25:59.574Z,2018-09-25T18:14:03.336Z,booking_289
session_298,search_130,2018-09-25T16:40:20.684Z,2018-09-25T16:10:52.146Z,
session_298,search_104,2018-09-25T16:46:18.816Z,2018-09-25T16:10:52.146Z,
session_298,search_39,2018-09-25T16:47:42.775Z,2018-09-25T16:10:52.146Z,
session_298,search_68,2018-09-25T16:11:27.181Z,2018-09-25T16:10:52.146Z,
session_298,search_1344,2018-09-25T16:16:45.289Z,2018-09-25T16:10:52.146Z,booking_75
session_298,search_39,2018-09-25T16:47:42.775Z,2018-09-25T16:10:52.146Z,
session_298,search_170,2018-09-25T16:40:55.791Z,2018-09-25T16:10:52.146Z,
session_298,search_1253,2018-09-25T16:22:05.569Z,2018-09-25T16:10:52.146Z,booking_38
session_113,search_1316,2018-09-25T18:14:29.653Z,2018-09-25T18:14:03.336Z,
session_113,search_151,2018-09-25T18:24:38.542Z,2018-09-25T18:14:03.336Z,
session_298,search_1308,2018-09-25T16:42:33.575Z,2018-09-25T16:10:52.146Z,
session_128,search_161,2018-09-24T15:03:39.272Z,2018-09-24T14:59:58Z,booking_192
session_128,search_31,2018-09-24T15:02:46.042Z,2018-09-24T14:59:58Z,
session_128,search_1313,2018-09-24T15:02:08.523Z,2018-09-24T14:59:58Z,
session_100,search_214,2021-01-03T15:38:04Z,2021-01-03T15:18:13.336Z,booking_96
session_299,search_1217,2020-01-29T16:38:24.508Z,2020-01-29T16:10:34Z,
session_299,search_1208,2020-01-29T16:10:46.413Z,2020-01-29T16:10:34Z,
session_299,search_961,2020-01-29T16:38:30.512Z,2020-01-29T16:10:34Z,booking_32
session_32,search_761,2021-01-03T18:32:51Z,2021-01-03T18:25:54.631Z,booking_12
session_32,search_761,2021-01-03T18:32:51Z,2021-01-03T18:25:54.631Z,booking_12
session_299,search_1158,2020-01-29T16:10:35.445Z,2020-01-29T16:10:34Z,
session_155,search_902,2020-01-28T18:25:56.425Z,2020-01-28T17:55:36.929Z,
session_154,search_489,2020-01-28T16:45:12.261Z,2020-01-28T16:11:01.369Z,booking_313
session_215,search_1010,2020-01-28T10:29:54.097Z,2020-01-28T09:55:07Z,
session_155,search_549,2020-01-28T18:26:10.752Z,2020-01-28T17:55:36.929Z,booking_122
session_155,search_468,2020-01-28T18:29:14.063Z,2020-01-28T17:55:36.929Z,
session_155,search_765,2020-01-28T18:25:22.414Z,2020-01-28T17:55:36.929Z,
session_156,search_689,2020-01-28T14:12:30.266Z,2020-01-28T14:12:12Z,
session_156,search_641,2020-01-28T14:13:59.629Z,2020-01-28T14:12:12Z,booking_27
session_154,search_571,2020-01-28T16:33:27.078Z,2020-01-28T16:11:01.369Z,booking_278
session_155,search_642,2020-01-28T19:04:43.841Z,2020-01-28T17:55:36.929Z,
session_155,search_894,2020-01-28T18:29:21.576Z,2020-01-28T17:55:36.929Z,
session_215,search_1065,2020-01-28T09:55:28.294Z,2020-01-28T09:55:07Z,
session_155,search_662,2020-01-28T17:56:25.351Z,2020-01-28T17:55:36.929Z,
session_155,search_334,2020-01-28T18:25:48.909Z,2020-01-28T17:55:36.929Z,
session_215,search_994,2020-01-28T10:16:23.787Z,2020-01-28T09:55:07Z,
session_215,search_1065,2020-01-28T09:55:28.294Z,2020-01-28T09:55:07Z,booking_125
session_154,search_481,2020-01-28T16:32:52.676Z,2020-01-28T16:11:01.369Z,
session_155,search_316,2020-01-28T18:25:42.567Z,2020-01-28T17:55:36.929Z,
session_155,search_843,2020-01-28T18:25:35.103Z,2020-01-28T17:55:36.929Z,
session_215,search_1065,2020-01-28T09:55:28.294Z,2020-01-28T09:55:07Z,
session_12,search_840,2021-01-05T18:31:05Z,2021-01-05T18:30:53.534Z,booking_146
session_110,search_414,2020-01-27T18:36:57.316Z,2020-01-27T18:34:17Z,
session_110,search_414,2020-01-27T18:36:57.316Z,2020-01-27T18:34:17Z,booking_322
session_110,search_331,2020-01-27T18:35:28.280Z,2020-01-27T18:34:17Z,
session_47,search_1066,2020-01-27T10:26:54.122Z,2020-01-27T10:25:51Z,booking_243
session_154,search_835,2020-01-28T17:06:08.301Z,2020-01-28T16:11:01.369Z,
session_223,search_1121,2020-01-28T16:25:15.746Z,2020-01-28T16:24:07Z,booking_215
session_156,search_689,2020-01-28T14:12:30.266Z,2020-01-28T14:12:12Z,
session_242,search_310,2021-06-01T07:47:50Z,2021-06-01T07:47:34.611Z,booking_283
session_110,search_607,2020-01-27T18:35:02.100Z,2020-01-27T18:34:17Z,
session_6,search_406,2020-06-24T14:26:49Z,2020-06-24T14:26:38.674Z,
session_44,search_724,2021-01-04T15:33:42Z,2021-01-04T15:32:55.922Z,booking_193
session_87,search_167,2018-09-21T16:26:56.976Z,2018-09-21T16:22:29.421Z,booking_65
session_273,search_64,2018-09-21T16:36:32.012Z,2018-09-21T16:36:16.300Z,booking_265
session_87,search_1341,2018-09-21T16:22:49.376Z,2018-09-21T16:22:29.421Z,
session_273,search_53,2018-09-21T17:01:02.921Z,2018-09-21T16:36:16.300Z,
session_273,search_46,2018-09-21T17:05:23.085Z,2018-09-21T16:36:16.300Z,
session_43,search_1222,2019-09-01T20:41:01.537Z,2019-09-01T20:40:30.605Z,booking_279
session_4,search_763,2019-09-02T10:16:13.160Z,2019-09-02T10:15:44Z,booking_105
session_4,search_763,2019-09-02T10:16:13.160Z,2019-09-02T10:15:44Z,
session_49,search_1351,2018-09-23T07:53:22.438Z,2018-09-23T07:52:23.207Z,booking_191
session_151,search_916,2021-01-07T05:22:59Z,2021-01-07T05:21:57.553Z,booking_95
session_151,search_833,2021-01-07T05:27:23Z,2021-01-07T05:21:57.553Z,
session_236,search_338,2019-11-29T07:13:28.157Z,2019-11-29T07:11:41Z,
session_236,search_449,2019-11-29T07:29:17.474Z,2019-11-29T07:11:41Z,booking_171
session_17,search_219,2021-07-01T09:13:56Z,2021-07-01T09:12:38Z,
session_17,search_494,2021-07-01T09:14:25Z,2021-07-01T09:12:38Z,booking_100
session_17,search_494,2021-07-01T09:14:25Z,2021-07-01T09:12:38Z,
session_280,search_851,2019-11-30T11:02:48.757Z,2019-11-30T11:02:19.161Z,booking_234
session_95,search_412,2020-10-20T13:01:46Z,2020-10-20T13:00:14Z,booking_291
session_280,search_851,2019-11-30T11:02:48.757Z,2019-11-30T11:02:19.161Z,
session_263,search_674,2021-08-10T11:25:56Z,2021-08-10T11:18:35.406Z,
session_263,search_333,2021-08-10T11:18:45Z,2021-08-10T11:18:35.406Z,booking_7
session_198,search_364,2021-03-14T05:09:02Z,2021-03-14T05:08:37Z,
session_198,search_411,2021-03-14T05:45:12Z,2021-03-14T05:08:37Z,booking_198
session_69,search_1224,2022-02-28T06:37:53Z,2022-02-28T06:33:05.852Z,booking_302
session_69,search_1008,2022-02-28T06:35:52Z,2022-02-28T06:33:05.852Z,
session_69,search_1126,2022-02-28T06:36:38Z,2022-02-28T06:33:05.852Z,
session_69,search_1028,2022-02-28T06:36:25Z,2022-02-28T06:33:05.852Z,
session_69,search_1191,2022-02-28T06:35:32Z,2022-02-28T06:33:05.852Z,
session_69,search_949,2022-02-28T06:37:36Z,2022-02-28T06:33:05.852Z,
session_69,search_1061,2022-02-28T06:36:51Z,2022-02-28T06:33:05.852Z,
session_69,search_1107,2022-02-28T06:36:02Z,2022-02-28T06:33:05.852Z,
session_69,search_1006,2022-02-28T06:37:03Z,2022-02-28T06:33:05.852Z,
session_69,search_1112,2022-02-28T06:34:11Z,2022-02-28T06:33:05.852Z,
session_121,search_327,2021-09-20T19:12:22Z,2021-09-20T19:12:01Z,booking_130
session_157,search_658,2021-09-21T12:07:01Z,2021-09-21T12:06:53Z,booking_71
session_145,search_1098,2022-02-22T08:45:51Z,2022-02-22T08:45:47Z,booking_180
session_145,search_982,2022-02-22T09:02:47Z,2022-02-22T08:45:47Z,
session_265,search_460,2021-03-18T17:13:39Z,2021-03-18T17:13:11Z,booking_186
session_265,search_279,2021-03-18T17:13:25Z,2021-03-18T17:13:11Z,
session_265,search_552,2021-03-18T17:13:12Z,2021-03-18T17:13:11Z,
session_265,search_713,2021-03-18T17:23:13Z,2021-03-18T17:13:11Z,
session_46,search_1170,2022-02-21T17:03:50Z,2022-02-21T17:02:41.046Z,
session_46,search_1023,2022-02-21T17:08:10Z,2022-02-21T17:02:41.046Z,
session_46,search_979,2022-02-21T17:05:09Z,2022-02-21T17:02:41.046Z,
session_46,search_1111,2022-02-21T17:04:14Z,2022-02-21T17:02:41.046Z,
session_46,search_1131,2022-02-21T17:10:03Z,2022-02-21T17:02:41.046Z,booking_219
session_46,search_1109,2022-02-21T17:08:22Z,2022-02-21T17:02:41.046Z,
session_46,search_1148,2022-02-21T17:07:19Z,2022-02-21T17:02:41.046Z,
session_46,search_1202,2022-02-21T17:04:37Z,2022-02-21T17:02:41.046Z,
session_46,search_1076,2022-02-21T17:09:50Z,2022-02-21T17:02:41.046Z,
session_46,search_1218,2022-02-21T17:08:46Z,2022-02-21T17:02:41.046Z,
session_255,search_675,2022-01-17T20:00:06Z,2022-01-17T19:00:11Z,
session_255,search_753,2022-01-17T19:59:34Z,2022-01-17T19:00:11Z,
session_255,search_515,2022-01-17T20:33:17Z,2022-01-17T19:00:11Z,
session_255,search_651,2022-01-17T20:00:09Z,2022-01-17T19:00:11Z,
session_196,search_1017,2020-03-02T11:40:44.719Z,2020-03-02T11:40:18Z,booking_303
session_255,search_789,2022-01-17T20:41:53Z,2022-01-17T19:00:11Z,
session_196,search_1067,2020-03-02T11:40:28.268Z,2020-03-02T11:40:18Z,
session_196,search_1017,2020-03-02T11:40:44.719Z,2020-03-02T11:40:18Z,
session_255,search_874,2022-01-17T20:41:31Z,2022-01-17T19:00:11Z,
session_255,search_428,2022-01-17T20:33:03Z,2022-01-17T19:00:11Z,
session_255,search_515,2022-01-17T20:33:17Z,2022-01-17T19:00:11Z,
session_255,search_276,2022-01-17T19:01:00Z,2022-01-17T19:00:11Z,booking_103
session_196,search_1047,2020-03-02T11:47:43.499Z,2020-03-02T11:40:18Z,booking_115
session_175,search_621,2022-03-30T20:41:55Z,2022-03-30T19:54:05.726Z,
session_175,search_770,2022-03-30T20:28:07Z,2022-03-30T19:54:05.726Z,
session_175,search_602,2022-03-30T20:23:51Z,2022-03-30T19:54:05.726Z,
session_175,search_193,2022-03-30T20:40:38Z,2022-03-30T19:54:05.726Z,
session_175,search_703,2022-03-30T20:09:03Z,2022-03-30T19:54:05.726Z,booking_163
session_175,search_559,2022-03-30T20:39:09Z,2022-03-30T19:54:05.726Z,
session_175,search_297,2022-03-30T20:00:31Z,2022-03-30T19:54:05.726Z,
session_175,search_769,2022-03-30T20:40:06Z,2022-03-30T19:54:05.726Z,
session_175,search_872,2022-03-30T19:56:42Z,2022-03-30T19:54:05.726Z,
session_127,search_626,2022-05-07T01:41:06Z,2022-05-07T01:40:29.880Z,booking_318
session_221,search_358,2021-04-28T06:14:57Z,2021-04-28T06:07:48Z,booking_3
session_221,search_499,2021-04-28T06:29:52Z,2021-04-28T06:07:48Z,
session_221,search_404,2021-04-28T06:13:00Z,2021-04-28T06:07:48Z,
session_221,search_643,2021-04-28T06:12:11Z,2021-04-28T06:07:48Z,
session_127,search_626,2022-05-07T01:41:06Z,2022-05-07T01:40:29.880Z,
session_221,search_230,2021-04-28T06:09:53Z,2021-04-28T06:07:48Z,
session_221,search_820,2021-04-28T06:14:07Z,2021-04-28T06:07:48Z,
session_221,search_566,2021-04-28T06:13:13Z,2021-04-28T06:07:48Z,
session_221,search_909,2021-04-28T06:13:48Z,2021-04-28T06:07:48Z,
session_221,search_342,2021-04-28T06:09:21Z,2021-04-28T06:07:48Z,
session_221,search_599,2021-04-28T06:14:20Z,2021-04-28T06:07:48Z,
session_221,search_522,2021-04-28T06:07:52Z,2021-04-28T06:07:48Z,
session_221,search_591,2021-04-28T06:14:39Z,2021-04-28T06:07:48Z,
session_91,search_692,2022-02-25T09:11:11Z,2022-02-25T09:03:12Z,
session_91,search_782,2022-02-25T09:03:34Z,2022-02-25T09:03:12Z,booking_90
session_232,search_218,2020-01-31T19:19:22.151Z,2020-01-31T18:47:39Z,
session_232,search_255,2020-01-31T19:19:54.163Z,2020-01-31T18:47:39Z,
session_232,search_278,2020-01-31T19:18:14.774Z,2020-01-31T18:47:39Z,
session_232,search_367,2020-01-31T19:20:51.204Z,2020-01-31T18:47:39Z,
session_232,search_578,2020-01-31T19:21:28.120Z,2020-01-31T18:47:39Z,
session_232,search_823,2020-01-31T18:49:25.019Z,2020-01-31T18:47:39Z,
session_232,search_861,2020-01-31T18:48:03.603Z,2020-01-31T18:47:39Z,
session_232,search_248,2020-01-31T19:19:34.285Z,2020-01-31T18:47:39Z,
session_232,search_663,2020-01-31T19:21:16.946Z,2020-01-31T18:47:39Z,
session_2,search_237,2020-01-31T06:26:55.785Z,2020-01-31T06:24:32Z,booking_269
session_232,search_211,2020-01-31T19:17:49.418Z,2020-01-31T18:47:39Z,
session_232,search_200,2020-01-31T19:17:08.200Z,2020-01-31T18:47:39Z,
session_232,search_595,2020-01-31T19:16:12.838Z,2020-01-31T18:47:39Z,
session_78,search_375,2020-01-31T20:27:38.420Z,2020-01-31T19:48:13.166Z,booking_239
session_232,search_232,2020-01-31T19:15:59.778Z,2020-01-31T18:47:39Z,
session_232,search_280,2020-01-31T18:48:39.830Z,2020-01-31T18:47:39Z,
session_232,search_326,2020-01-31T19:17:34.721Z,2020-01-31T18:47:39Z,
session_232,search_926,2020-01-31T19:20:30.445Z,2020-01-31T18:47:39Z,
session_78,search_397,2020-01-31T19:49:23.143Z,2020-01-31T19:48:13.166Z,
session_78,search_882,2020-01-31T19:54:33.785Z,2020-01-31T19:48:13.166Z,
session_302,search_841,2020-03-08T12:20:27.121Z,2020-03-08T12:13:34.185Z,booking_22
session_2,search_528,2020-01-31T06:26:31.271Z,2020-01-31T06:24:32Z,
session_232,search_339,2020-01-31T19:15:39.992Z,2020-01-31T18:47:39Z,
session_232,search_413,2020-01-31T19:18:02.237Z,2020-01-31T18:47:39Z,
session_232,search_523,2020-01-31T18:47:34.808Z,2020-01-31T18:47:39Z,
session_232,search_511,2020-01-31T19:17:21.500Z,2020-01-31T18:47:39Z,
session_232,search_207,2020-01-31T19:21:37.393Z,2020-01-31T18:47:39Z,
session_78,search_391,2020-01-31T20:09:03.836Z,2020-01-31T19:48:13.166Z,
session_302,search_614,2020-03-08T12:14:33.568Z,2020-03-08T12:13:34.185Z,
session_232,search_196,2020-01-31T19:16:29.602Z,2020-01-31T18:47:39Z,
session_232,search_385,2020-01-31T19:20:13.057Z,2020-01-31T18:47:39Z,
session_232,search_444,2020-01-31T19:18:35.731Z,2020-01-31T18:47:39Z,
session_232,search_501,2020-01-31T19:08:48.509Z,2020-01-31T18:47:39Z,
session_232,search_755,2020-01-31T19:19:02.058Z,2020-01-31T18:47:39Z,
session_232,search_207,2020-01-31T19:21:37.393Z,2020-01-31T18:47:39Z,booking_184
session_275,search_530,2020-01-31T23:30:25.834Z,2020-01-31T23:30:21Z,booking_20
session_302,search_383,2020-03-08T12:19:12.272Z,2020-03-08T12:13:34.185Z,
session_29,search_580,2022-01-12T15:27:01Z,2022-01-12T15:26:28Z,
session_29,search_700,2022-01-12T15:31:54Z,2022-01-12T15:26:28Z,booking_2
session_29,search_609,2022-01-12T15:27:36Z,2022-01-12T15:26:28Z,
session_286,search_569,2020-05-20T13:42:32Z,2020-05-20T13:40:25Z,
session_286,search_569,2020-05-20T13:42:32Z,2020-05-20T13:40:25Z,
session_286,search_569,2020-05-20T13:42:32Z,2020-05-20T13:40:25Z,booking_158
session_286,search_569,2020-05-20T13:42:32Z,2020-05-20T13:40:25Z,
session_286,search_569,2020-05-20T13:42:32Z,2020-05-20T13:40:25Z,
session_286,search_569,2020-05-20T13:42:32Z,2020-05-20T13:40:25Z,
session_286,search_569,2020-05-20T13:42:32Z,2020-05-20T13:40:25Z,
session_286,search_569,2020-05-20T13:42:32Z,2020-05-20T13:40:25Z,
session_21,search_1181,2019-10-22T22:04:07.552Z,2019-10-22T20:24:59Z,
session_21,search_1033,2019-10-22T21:56:30.280Z,2019-10-22T20:24:59Z,
session_21,search_1072,2019-10-22T21:59:51.625Z,2019-10-22T20:24:59Z,
session_21,search_1129,2019-10-22T20:39:35.539Z,2019-10-22T20:24:59Z,
session_21,search_1053,2019-10-22T21:57:13.933Z,2019-10-22T20:24:59Z,
session_21,search_1038,2019-10-22T22:02:51.140Z,2019-10-22T20:24:59Z,
session_21,search_1168,2019-10-22T22:02:06.103Z,2019-10-22T20:24:59Z,
session_21,search_1093,2019-10-22T20:25:05.186Z,2019-10-22T20:24:59Z,
session_29,search_700,2022-01-12T15:31:54Z,2022-01-12T15:26:28Z,booking_2
session_21,search_1100,2019-10-22T20:36:46.380Z,2019-10-22T20:24:59Z,
session_21,search_1088,2019-10-22T22:20:27.904Z,2019-10-22T20:24:59Z,booking_248
session_21,search_960,2019-10-22T21:21:32.664Z,2019-10-22T20:24:59Z,
session_241,search_927,2021-09-28T18:31:35Z,2021-09-28T18:31:16Z,
session_241,search_878,2021-09-28T19:24:30Z,2021-09-28T18:31:16Z,
session_21,search_983,2019-10-22T21:54:30.786Z,2019-10-22T20:24:59Z,
session_21,search_1044,2019-10-22T21:21:59.815Z,2019-10-22T20:24:59Z,
session_21,search_951,2019-10-22T21:55:25.283Z,2019-10-22T20:24:59Z,
session_21,search_998,2019-10-22T21:23:56.997Z,2019-10-22T20:24:59Z,
session_278,search_1228,2020-01-30T12:06:05.569Z,2020-01-30T12:05:19.478Z,booking_108
session_278,search_1189,2020-01-30T12:10:50.888Z,2020-01-30T12:05:19.478Z,
session_241,search_648,2021-09-28T18:35:59Z,2021-09-28T18:31:16Z,booking_69
session_241,search_899,2021-09-28T19:25:21Z,2021-09-28T18:31:16Z,
session_278,search_1092,2020-01-30T12:05:45.370Z,2020-01-30T12:05:19.478Z,
session_21,search_1070,2019-10-22T20:26:05.520Z,2019-10-22T20:24:59Z,
session_21,search_1051,2019-10-22T20:36:28.593Z,2019-10-22T20:24:59Z,
session_21,search_1223,2019-10-22T21:28:37.859Z,2019-10-22T20:24:59Z,
session_278,search_1113,2020-01-30T12:05:21.733Z,2020-01-30T12:05:19.478Z,
session_21,search_1162,2019-10-22T21:53:47.233Z,2019-10-22T20:24:59Z,
session_278,search_1228,2020-01-30T12:06:05.569Z,2020-01-30T12:05:19.478Z,
session_89,search_386,2020-09-10T06:53:33Z,2020-09-10T06:35:12Z,
session_89,search_440,2020-09-10T06:55:13Z,2020-09-10T06:35:12Z,booking_262
session_89,search_897,2020-09-10T06:35:19Z,2020-09-10T06:35:12Z,
session_89,search_497,2020-09-10T06:54:49Z,2020-09-10T06:35:12Z,
session_132,search_302,2022-01-14T05:41:45Z,2022-01-14T05:40:02.725Z,booking_176
session_205,search_749,2022-01-14T14:39:19Z,2022-01-14T14:39:19Z,booking_110
session_132,search_563,2022-01-14T05:41:35Z,2022-01-14T05:40:02.725Z,
session_132,search_302,2022-01-14T05:41:45Z,2022-01-14T05:40:02.725Z,
session_132,search_302,2022-01-14T05:41:45Z,2022-01-14T05:40:02.725Z,booking_176
session_205,search_749,2022-01-14T14:39:19Z,2022-01-14T14:39:19Z,booking_110
session_222,search_670,2021-11-02T14:44:33Z,2021-11-02T14:43:35.369Z,
